Id2,Total; Estimate; Total population,Male; Estimate; Total population,Female; Estimate; Total population,Male; Estimate; AGE - Under 5 years,Male; Estimate; AGE - 45 to 49 years,Male; Estimate; AGE - 50 to 54 years,Male; Estimate; AGE - 55 to 59 years,Male; Estimate; SELECTED AGE CATEGORIES - 5 to 14 years,Male; Estimate; SELECTED AGE CATEGORIES - 15 to 44 years,Male; Estimate; SELECTED AGE CATEGORIES - 60 years and over,Female; Estimate; AGE - Under 5 years,Female; Estimate; AGE - 45 to 49 years,Female; Estimate; AGE - 50 to 54 years,Female; Estimate; AGE - 55 to 59 years,Female; Estimate; SELECTED AGE CATEGORIES - 5 to 14 years,Female; Estimate; SELECTED AGE CATEGORIES - 15 to 44 years,Female; Estimate; SELECTED AGE CATEGORIES - 60 years and over,Male; Estimate; SUMMARY INDICATORS - Median age (years),Female; Estimate; SUMMARY INDICATORS - Median age (years),Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
25286,1544,750,794,1.3,10.1,13.9,5.5,7.1,36.8,25.3,1.6,6.5,10.3,6,8.1,36.4,31,46.2,48,9,57,650,2972
35469,172,69,103,0,0,52.2,0,10.1,0,37.7,0,0,0,39.8,0,39.8,20.4,54.6,56.1,8,67,328,1625
35097,2047,1071,976,5,7.4,19.8,3.7,9,33.5,21.6,1.5,17.5,3.1,3.2,12,28.5,34.2,46.7,45.8,21,157,659,2500
7921,7915,3407,4508,5,9.9,8,12.3,9.6,33.9,21.3,2.2,9.6,5.7,11.6,9.3,32.3,29.3,45.5,48,276,7092,290123,904673
36801,24273,11427,12846,6,4.8,7.7,6,15,42.5,18,5.7,6.4,7.2,7.5,10.2,41.1,21.8,32.9,39.2,817,16755,138361,573613
17754,11901,6017,5884,5.2,8.1,8.1,8.8,9.3,33.1,27.4,3,6.5,9.6,7.7,10.4,28,35,45.8,51.2,349,5549,47673,205391
85912,186,121,65,0,0,0,0,0,54.5,45.5,0,0,27.7,29.2,0,0,43.1,31.8,55.8,6,17,96,406
49796,430,212,218,1.4,16.5,4.2,8.5,7.1,30.2,32.1,0,13.3,5,9.2,0,36.2,36.2,49,53.5,22,134,789,4428
37311,27875,13916,13959,8.2,6.4,7,5.5,11.9,47.8,13.3,6.4,6.9,6.8,6,10.9,45.7,17.4,29.6,36,766,15907,145058,617697
80648,980,479,501,3.3,9.2,5.2,11.9,11.7,39.5,19.2,4.4,6.6,11.6,11,7.6,44.5,14.4,43.3,41.6,16,114,1547,6039
48416,4940,2410,2530,6.5,7,7.1,7.6,14.8,33.7,23.4,5.5,5.4,6.9,9.2,16.1,38.3,18.6,40.8,38.2,80,568,3920,20077
71373,6994,3443,3551,5.6,4.5,9.1,8.8,15.5,38.3,18.2,6.2,5.9,8.3,6.7,13.6,36.6,22.8,36.3,40.8,168,1994,15871,63484
56001,47211,23827,23384,5.7,4.6,4.6,4.7,10,55.9,14.6,5.5,4.1,5.1,4.9,8.5,53.1,18.8,26.2,28,1548,32443,273812,1154716
98125,39254,19052,20202,5.9,6.1,6.2,7.2,11,45.9,17.7,5.4,5.1,5.7,6.5,8.5,43.9,24.9,37,38.5,1053,10959,85391,374131
86030,1530,751,779,10,5.2,6.7,5.6,14.1,43.9,14.5,8.1,5,10.5,7.2,13,38.9,17.3,32.5,35.3,5,12,88,345
71857,5566,2780,2786,11.3,4.6,8.1,9.7,12,28.2,26.1,2.6,4.2,5.9,7.2,17.5,31.6,31.1,41.6,41.7,102,1918,15819,60677
53037,9359,4398,4961,5,7.5,8.9,8.4,16,38,16.2,7.5,6.9,7.9,4.8,11.9,38.6,22.4,39.5,39.5,189,3437,37448,161790
76520,7607,3889,3718,4.1,5.9,10.3,4.3,13.1,37.3,24.9,5.6,5.2,4.4,6.5,16.2,30.7,31.5,42.5,43.5,157,1745,17157,69180
22802,29089,14045,15044,6.6,6.3,5.7,6.7,13.6,45.6,15.6,6.6,5.4,6.9,6.9,11.4,45.5,17.4,33.4,33.5,456,7999,58804,258652
58562,405,215,190,1.9,0.9,7,15.3,8.8,20.5,45.6,1.6,4.7,11.1,8.9,7.9,17.9,47.9,58.6,59.2,14,59,326,1495
8320,1316,1306,10,0,12.1,5.6,1.7,0,77.4,3.2,0,0,0,0,0,100,0,35.8,-,10,83,639,3087
44870,40825,19890,20935,6.5,6,8.2,7.6,12.4,38,21.2,5.6,6.7,7.9,7.7,11.8,36.1,24.2,39.6,41.4,1177,23746,202172,876432
61115,23007,11062,11945,6,6.9,8.9,7.8,11.5,40.3,18.5,7.6,6.9,7.9,6.4,12.5,38.6,20.1,39,39.4,419,6211,51407,226402
6260,9437,4482,4955,5.2,6.1,10.8,7.4,11.7,38.4,20.4,7.6,4.2,10.3,7.1,11.4,36.6,22.8,39.3,41.4,314,5427,51397,223509
