Id2,Total; Estimate; Total population,Male; Estimate; Total population,Female; Estimate; Total population,Male; Estimate; AGE - Under 5 years,Male; Estimate; AGE - 45 to 49 years,Male; Estimate; AGE - 50 to 54 years,Male; Estimate; AGE - 55 to 59 years,Male; Estimate; SELECTED AGE CATEGORIES - 5 to 14 years,Male; Estimate; SELECTED AGE CATEGORIES - 15 to 44 years,Male; Estimate; SELECTED AGE CATEGORIES - 60 years and over,Female; Estimate; AGE - Under 5 years,Female; Estimate; AGE - 45 to 49 years,Female; Estimate; AGE - 50 to 54 years,Female; Estimate; AGE - 55 to 59 years,Female; Estimate; SELECTED AGE CATEGORIES - 5 to 14 years,Female; Estimate; SELECTED AGE CATEGORIES - 15 to 44 years,Female; Estimate; SELECTED AGE CATEGORIES - 60 years and over,Male; Estimate; SUMMARY INDICATORS - Median age (years),Female; Estimate; SUMMARY INDICATORS - Median age (years),Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
70121,11867,5708,6159,4.8,10,11.3,7.1,6.1,36.9,23.7,3.7,9.6,9.4,8.2,9.4,32.7,27,45.9,47.3,401,13661,200071,881255
37854,12767,6187,6580,5.5,5.7,10.1,9.1,9.6,32.7,27.3,4.3,6.7,6.7,9.3,11.6,31.5,29.9,47.3,47.6,146,2260,16316,69062
14032,7841,3844,3997,5.3,13.5,8,8.7,19.3,31.7,13.6,4.2,13.7,10.1,4.8,19.1,30.6,17.6,41.2,42.7,175,1158,8120,46769
19518,14945,7520,7425,5,7.6,9.3,6.4,16,36.3,19.5,4.4,6.2,7.8,6.3,17.9,33.3,24.1,40.1,41.2,258,3004,28805,125814
99734,2122,1807,315,0,10,13.1,18.2,0,46.7,12.2,0,2.5,18.1,6.7,0,58.7,14,47.5,42.3,62,3220,76083,276497
8072,271,117,154,5.1,13.7,8.5,23.1,9.4,17.1,23.1,0,0,7.1,7.1,14.3,35.7,35.7,53.6,47.5,11,54,269,1155
21853,10845,4852,5993,6,3.6,6.2,4.5,9.6,51.5,18.6,4.3,4.2,6.4,5.8,8.7,54.6,16.1,29.6,25.8,160,1247,8594,37355
60124,20912,10474,10438,7.6,6.7,9,7.2,13.3,39.3,17,11.4,6.6,8.4,4.3,11.1,36.5,21.6,38.7,39.7,433,4416,55764,249848
3836,1286,628,658,0.8,4.8,9.4,8.1,13.4,22.3,41.2,5.8,7.8,8.2,9.3,8.5,23.9,36.6,54.8,52.2,27,355,2064,10021
72740,8958,4342,4616,5.8,7.1,7.3,5,15.4,38.2,21.3,8,6.6,6.8,6.8,15.1,35.6,21,38.7,37.1,144,2079,15463,66169
76135,22217,11257,10960,6.4,6.4,7.3,8,13.3,42.7,15.9,5.8,6.7,8.7,8.5,13.6,38.6,17.9,35.3,40.3,430,7397,101766,392026
34946,6134,2953,3181,3.9,5.6,10.4,7.2,10.7,33.4,28.8,7.6,6.6,6.2,8.6,12,35.4,23.6,47.5,40.9,166,2423,20544,87020
12503,783,447,336,3.1,5.6,7.6,8.7,10.7,28.2,36,0.9,4.8,12.8,6.8,10.7,26.2,37.8,52.7,52.9,22,148,921,3252
56127,388,191,197,1,6.3,8.4,13.1,4.7,38.2,28.3,3,4.6,11.7,8.1,13.2,29.4,29.9,49.5,49.9,6,64,385,1852
84097,20923,10160,10763,9.5,5.3,4.8,5.8,17.4,41.1,16.1,7.9,5.3,5.3,5.3,16.6,40.5,19,28.7,32.1,759,10848,110051,443987
4562,1961,966,995,4.2,8.3,9.7,10.1,7.7,23.6,36.3,3.4,6.4,14.4,12.9,3.8,24.8,34.3,54.1,54.4,53,98,685,5195
83414,585,340,245,19.4,7.1,8.5,9.1,10.6,25.9,19.4,0,0,31,10.2,20.4,26.9,11.4,42.9,51.1,20,495,2215,6979
32801,11718,6066,5652,3.4,7,7.3,6.2,3.1,53.9,19,1,3.7,4,4.3,3.3,52.1,31.5,38.8,37.7,1821,28717,537630,2033404
24849,356,176,180,8,5.1,4.5,12.5,8,57.4,4.5,0,0,4.4,26.1,11.7,57.8,0,32.5,29,5,49,337,1642
77327,21168,10475,10693,9.8,6.2,6.3,4,17.4,38.9,17.4,7.8,6.1,6.4,6.8,14.1,40.9,17.9,33.4,35.3,354,4486,34542,149095
28052,34764,16861,17903,9.9,6.7,6.3,6.5,13.7,40.7,16.1,7.9,6.1,7.1,6.8,14.3,39.5,18.2,33.9,35.6,718,13539,120626,496156
58011,376,186,190,3.8,4.8,13.4,9.7,12.9,29,26.3,9.5,8.9,10.5,10,14.7,18.4,27.9,48,48.6,17,99,786,3320
61020,3205,1606,1599,8,9.7,10.6,6.7,19.7,36.1,9.2,3.5,8.7,6,4.8,21.5,46,9.5,36.3,30.9,31,328,3618,16685
17954,4490,2232,2258,7.1,7.8,3.6,4.6,7.8,42.7,26.5,7.5,8.4,6.3,3.9,12.5,32.6,28.7,40.8,41.5,86,1469,11135,42793
18034,8682,4131,4551,4,4.2,5.6,8.1,19.2,41.7,17.2,5.1,3.7,7.2,8,17.7,42.5,15.9,35.8,34,268,6745,118218,493511
98146,26730,13434,13296,7.3,8.3,6.8,6.4,12.1,41.9,17.2,6.5,7.2,6.3,5.7,13.8,41.8,18.7,36.7,38.4,305,2045,14285,63443
88430,69,16,53,0,0,0,0,0,0,100,0,0,3.8,5.7,0,5.7,84.9,71,66.8,3,12,79,299
20839,64,35,29,0,0,0,20,0,60,20,0,0,24.1,0,0,65.5,10.3,37.7,26.1,17,108,449,2903
45697,5304,2462,2842,8.9,8.7,5.2,10.6,11.2,33.7,21.7,6.7,9.5,5.1,12.4,18.6,31.2,16.5,41.9,38.2,58,404,2469,12287
93648,16120,8293,7827,10.9,6.1,5,3.9,19.1,45.4,9.5,9.7,4.8,6.2,4.1,17.9,47.2,10.2,25.8,25.6,74,1588,14188,62538
52543,331,175,156,12,0,14.3,0,17.1,46.9,9.7,5.8,8.3,14.1,3.2,23.1,37.8,7.7,29.8,31.8,5,6,30,150
1778,13562,6596,6966,5,8.2,9.7,9.6,16.8,28.4,22.4,5.2,6.8,10.9,8.4,13.5,27.1,28.1,44.8,48,360,3408,36278,160169
12417,757,337,420,4.7,5.3,0,6.5,20.5,47.8,15.1,2.1,0,5,13.6,7.1,41.4,30.7,29.3,40.8,5,31,168,721
56052,937,492,445,7.3,10.4,8.3,10,11.2,36,16.9,7.9,9.7,4.5,11.2,9.2,40.2,17.3,43.2,38.3,15,20,111,961
25276,7718,3850,3868,6,5.8,6.8,7.8,13.7,33.8,26.2,5.4,5.8,8.9,9.1,11.8,31.6,27.4,41.7,45.7,193,2042,15573,64801
21562,3141,1497,1644,3.7,6.9,5.3,9.4,10.2,41.2,23.3,7,1.8,9.3,8.9,13.7,31,28.2,40,43.5,54,626,4019,15432
81123,1059,525,534,8,11.2,5.5,3.4,13.9,32.2,25.7,9.7,6.9,6.6,9.9,8.8,39.1,18.9,39.8,39.7,11,107,680,3167
5065,1090,524,566,4.6,8,10.1,7.8,15.6,28.2,25.6,6.9,7.4,5.8,11.7,15.5,30.6,22.1,46.4,43.2,33,205,1523,7309
46035,1128,545,583,3.1,7,4.6,5.9,15.2,38.9,25.3,9.9,3.9,6.5,2.7,13.7,33.4,29.7,40.1,40,9,48,330,1373
76642,7007,3549,3458,9,6.4,4.8,5.6,12.9,39,22.2,7.5,5.4,6.9,7.8,16.1,32.3,24,34.7,37.6,108,1490,10547,41177
51027,1060,546,514,8.1,4.8,7.7,4.8,13,32.8,28.9,8.8,4.7,4.5,9.9,15,37.4,19.8,42.1,36.7,41,234,1961,9157
43830,6568,3257,3311,5.8,6.5,3,7,15.6,44.2,17.9,7.1,4.8,5.8,8.4,14.8,40.5,18.5,36.9,36.1,55,326,2347,14480
24566,1263,565,698,14.3,9,6.4,18.8,11.2,17.9,22.5,1.7,2.4,10.3,3.3,25.4,36.8,20.1,45.7,36.4,10,37,135,569
12184,6893,3498,3395,4,5.1,6.2,8,14.7,30.4,31.5,5.8,6.3,7.5,8.3,10.8,29.3,32,46.2,48.4,169,1463,9666,43925
89118,20420,10427,9993,5.7,11.5,5.9,7.1,7.9,45.5,16.6,7.2,5.7,9.4,5.7,8,44.1,20,38.4,36.8,2181,51254,536084,2215422
84305,715,388,327,1.5,1.5,3.4,2.8,28.6,42.8,19.3,11.9,1.2,4.6,4.3,13.8,39.4,24.8,29,36.6,7,21,52,372
26282,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,30,108,589
32508,6878,5291,1587,2.4,0.3,0.2,0,2.4,94.8,0,3.4,0.9,0.2,1.3,8.9,85.3,0,21.2,20.6,53,858,10962,43964
39562,17110,8513,8597,4.9,8.6,8.7,7.7,8.7,38.2,23.3,2.4,6.5,8.3,9,13,36.3,24.5,44.1,43.4,150,5054,74774,219767
72206,24377,12418,11959,4.2,6.7,8.5,8.1,10.7,41.2,20.7,5.7,6.2,8,8.2,9.5,35.4,26.9,39.7,44.3,483,10218,128768,537422
78643,5912,2694,3218,2.5,3.8,10.7,6.2,9.5,30.5,36.8,4,5.7,4.8,6.8,11.4,24.5,42.8,52,54.7,166,1429,10480,44413
96118,1717,847,870,0,4.7,3.8,13.5,12.3,33.3,32.5,9.7,5.1,8.4,12.6,13.7,29,21.6,47.9,43.3,21,71,321,1666
76012,26423,12520,13903,6.6,5.3,9.2,5.7,14.9,36.5,21.8,5.1,5.7,7.5,6,11.3,39.3,25.2,38.5,40.8,632,7356,81383,352830
23234,44295,21614,22681,6.9,6.5,6.5,6.3,14.4,44.8,14.6,6.6,6.5,6.9,7.5,12.9,42.7,16.9,32.9,35.1,553,10488,150274,609635
45332,683,330,353,3.9,2.4,1.5,8.5,16.7,41.2,25.8,6.5,5.4,2.8,2,16.4,48.2,18.7,34.1,25.8,6,72,582,2546
54534,2333,1141,1192,5.8,6.8,9.3,5.9,10,27.2,35.1,3.7,5.3,7,8.1,7.2,30,38.8,50.1,52.2,112,946,5627,24687
59420,309,128,181,3.9,12.5,5.5,10.2,16.4,29.7,21.9,1.7,7.2,1.7,12.2,15.5,45.3,16.6,45,27.8,6,16,115,560
96091,521,277,244,0,2.5,7.2,10.8,5.4,9,65,0,2,9,16,6.1,13.9,52.9,64.2,60.3,17,42,229,1673
32024,19015,9600,9415,8.2,5.7,7.4,7.5,15.1,36,20,8.1,7.3,6.7,5.7,11.9,33.5,26.8,37.5,42,209,1645,9852,41288
13697,2046,1007,1039,4,6,4.8,9.3,13.5,37.2,25.2,7.2,3.8,3.6,9.8,5.6,31.7,38.4,43,54.4,23,80,377,2022
45645,3286,1643,1643,1.5,8.5,8.2,3.5,17.5,35,25.9,6.3,4.1,9.5,9,11.5,32.4,27.1,42.7,44.8,20,184,2078,16521
30013,25947,11869,14078,5.9,5.6,7.8,5.2,16.7,43.9,14.9,5.2,7.9,8,5.6,13.6,41.2,18.6,31.7,39.7,763,17361,188161,737427
88341,406,161,245,0,0,5.6,11.8,0,14.9,67.7,0,8.6,2.4,15.1,0,25.3,48.6,64.6,59.8,7,19,172,891
19079,9195,4020,5175,11.3,3.9,6.3,4.3,15,41.2,18,6.9,5.3,4.2,7.4,14,44.1,18.2,32.4,35.2,174,2808,29843,123568
68879,366,180,186,6.7,3.9,14.4,7.2,9.4,29.4,28.9,4.8,12.9,7,11.8,11.8,23.7,28,50.1,49.3,8,26,64,284
62835,1080,537,543,4.7,6.3,4.3,5.6,14.2,33.9,31.1,8.1,2.8,7.2,3.3,7,40.3,31.3,37.8,43,17,93,704,2788
47438,4542,2176,2366,6.2,8.7,6.2,6.7,9.6,35.9,26.7,7.6,5.2,5.5,4.6,13.9,31.9,31.2,43,44.1,56,406,2360,8126
48350,7380,3619,3761,8,10.2,8.6,6.8,14.1,32.1,20.2,4,10.2,7.7,7.8,16.5,36.3,17.5,42,41,105,1065,9674,41224
34145,17148,8449,8699,0.7,3,6,8.7,6.1,17.1,58.4,1.7,4.1,6.5,8.9,5,15.2,58.5,64.9,64.2,741,6724,56757,218622
97215,16893,8056,8837,5.8,7,4.4,10.2,9.4,43.5,19.7,5.2,6.2,6.8,6.8,7.6,43.2,24.2,39.3,41.3,447,3538,24737,112169
13212,20417,9755,10662,6.4,7,8,7.1,10.3,37.6,23.5,5.5,6.1,7.7,8.5,11.1,32.7,28.3,41.7,45.5,612,12473,148404,643816
48884,4250,2221,2029,3.4,9.5,7.1,9,13.1,38,19.9,3.4,7,11,8.4,11.4,32.2,26.7,40.1,47.5,55,504,4016,17362
28337,10713,4937,5776,5.3,6.7,5.7,7.1,18.4,35.9,20.9,3.8,5.7,4.6,9.2,13.4,34.7,28.6,37,44,287,3352,25488,103514
46539,1957,948,1009,8,4.7,11.5,6.9,13.9,33.5,21.4,10.3,6.8,7.3,5.6,11.7,32.4,25.9,38.7,41.4,37,534,3827,15150
12121,1781,984,797,0.6,13.9,5.1,7.7,10,32.8,29.9,6.4,3.4,10.8,11.7,5,34.9,27.9,48.3,50.1,22,89,637,3950
91205,38322,18453,19869,5.6,6.7,7.3,6.6,11.5,44.2,18.2,4.7,6.4,8.5,6.9,8.3,41.3,24,37.1,41.5,729,6431,62704,271283
78375,2973,1594,1379,5.2,4,7.9,4.5,11.3,43.7,23.4,7,5.9,5.1,10.5,9.7,24.8,36.9,32.7,50.6,46,686,6329,22866
73430,1225,624,601,8.7,3.4,8.7,6.4,8.8,33.8,30.3,4.7,4.7,10.1,4.8,12,27.3,36.4,43.8,52.2,8,43,192,763
93923,13043,6068,6975,3.6,5.9,8,6.2,10.3,20.9,45.2,2.6,6.3,7.1,6.6,8.5,16.3,52.6,56.5,61.7,541,4787,52044,207520
84758,719,310,409,12.3,5.2,12.3,3.9,13.5,32.9,20,9,5.1,11,5.4,10,41.3,18.1,34.5,28,13,35,249,1139
59865,3026,1591,1435,7.7,3.4,3.8,6.6,14,41.5,22.9,4.3,6,9,6.6,9.5,35.7,28.9,33.7,45.8,72,551,5678,22551
94304,3655,1832,1823,9.4,4.4,3.3,5.6,8.4,43.7,25.2,2.7,1.7,6.3,5.4,9.1,41.5,33.2,38.1,42.2,443,61367,2345681,8656172
14864,1141,632,509,2.1,6,14.1,12.5,4.9,35,25.5,6.9,7.3,5.9,16.1,5.9,24,34,51.3,55.1,10,34,255,1112
33321,46181,20674,25507,5.1,6.2,7.6,5.7,10.6,36,28.8,2.9,6.7,5.6,5.6,9.2,31.8,38.4,43.3,49.6,840,9480,94036,397363
23882,1681,846,835,6,4.6,3.1,7.7,15,26.1,37.5,1.9,8.1,11.7,5.5,10.5,28.9,33.3,48.6,50.2,46,681,5475,23896
67667,189,123,66,8.9,4.9,5.7,7.3,8.1,45.5,19.5,0,12.1,19.7,4.5,7.6,37.9,18.2,28.4,46.5,5,33,178,615
18660,3263,1625,1638,5.1,8.7,11.4,6.5,9.5,34.2,24.6,5.2,7.1,8.2,7.8,11.1,33.3,27.4,45.6,45.2,41,170,787,3790
8525,4874,2404,2470,3.7,9.6,8.1,11.7,11.7,27.9,27.3,3,8.3,10,11.3,12.1,25.9,29.5,47.8,50.4,158,735,6247,31326
56453,853,440,413,6.8,8,5.7,9.3,17,27.5,25.7,3.4,5.6,8.7,7.3,16.7,33.7,24.7,44.5,41,4,8,73,165
23841,3862,1960,1902,4.6,6.3,5.2,10.2,14.1,40.4,19.3,2.6,7.3,5.7,15,6.8,34.6,28,41,47.9,50,315,1894,8000
42206,5609,2924,2685,8.7,6.9,6.7,6.6,15,38.6,17.6,6.7,4.8,11.1,5.4,13.9,36.1,21.9,33.2,41.8,70,634,4541,19997
87375,2815,1340,1475,5.5,4.9,4.5,4.5,17.2,53.4,10.1,12.5,4.3,11.9,3.2,18.7,37.1,12.3,29.1,26.7,5,20,95,335
10977,62280,30996,31284,10.7,4.5,4.8,4.9,19.3,44.5,11.5,11.6,5.2,5.9,4.2,19.4,39.3,14.4,27.5,28.3,1446,13690,161589,649172
33880,37327,18244,19083,8.4,5.3,8.2,5.8,15,38.3,18.9,5.2,5.8,7.6,5.3,15.3,36.8,24,37.1,38.6,866,10033,89506,378341
67020,1825,981,844,7.7,9,6.6,8.5,12.8,33.9,21.4,4.3,6.5,7.6,9.4,15.5,35.1,21.7,39.6,41.2,32,181,1880,8108
28508,2750,1217,1533,2,0.8,12.2,3,18.8,50.5,12.7,19.2,10.8,7.5,1.6,12.3,39,9.6,27.8,29.4,11,44,185,800
51555,5154,2488,2666,6,9.2,7.6,4.5,13.9,32.8,25.9,5.4,7.7,9.5,7.7,10.2,34.8,24.9,43.8,44.9,137,1499,11737,50332
59727,293,158,135,0.6,4.4,7.6,7.6,15.2,20.3,44.3,0,5.2,5.2,12.6,10.4,36.3,30.4,55.6,48.6,5,9,24,96
97413,891,458,433,7.9,6.1,6.6,5.7,3.7,38.2,31.9,13.4,3.2,8.3,8.3,2.8,20.1,43.9,46.1,57.4,28,103,500,2622
54563,703,357,346,4.2,6.7,8.7,8.1,17.4,26.1,28.9,2.9,7.2,6.4,9.5,13.3,30.9,29.8,46.8,47.5,11,54,358,1587
97005,26248,13099,13149,7.5,4.8,4.5,6.1,14.2,50.4,12.5,6.2,7,7.3,5,14.4,44.1,16,31.3,34.7,1517,38677,756456,3853049
21210,15186,7222,7964,3.8,4.7,5.5,4.5,10,51.8,19.7,4.1,4.9,4.5,6.2,5.9,53.4,20.9,30.8,29.8,293,7561,62951,265625
82923,210,117,93,0,3.4,2.6,6.8,0,8.5,78.6,0,0,0,12.9,0,0,87.1,68.2,71.2,45,735,15168,51053
6457,47218,22845,24373,5.9,6.3,7.4,7.8,10.1,46.2,16.2,4.4,5.8,8,7,8.9,45.3,20.6,34.7,38,1093,22641,316618,1303991
62868,1446,807,639,8.2,7.8,9.3,5.3,16.2,31.1,22.1,2.2,13.1,7.8,10.6,7.4,28.2,30.7,36.7,49.7,35,186,1414,6203
77339,39863,19696,20167,4.6,6.2,6.5,6.5,13.7,42.6,19.9,4.2,6.8,7.5,7.4,12.7,37.8,23.7,36.6,41.1,988,14691,180503,685249
50154,440,228,212,13.6,4.8,4.4,10.1,13.2,36.8,17.1,7.5,7.1,2.8,5.7,17.9,40.6,18.4,35,30.3,6,18,125,801
67003,2663,1351,1312,8.2,5.8,4.4,10.7,15.8,29.7,25.4,6.1,4.1,6.4,6.8,10.4,29.3,37,37.8,51.1,110,881,7276,31109
85309,789,721,68,0,0,0,0,0,100,0,0,0,0,0,0,100,0,21.3,21.1,25,241,3515,13951
28697,12916,6380,6536,4.8,5.9,6.6,7.7,18.4,33,23.6,2.8,6.7,7.9,7.9,12.4,32.6,29.7,42.5,46.7,401,10285,153448,489270
25049,605,350,255,27.4,2,1.1,1.7,14.3,47.1,6.3,7.1,2.7,3.5,0,26.7,49.4,10.6,19.8,28.5,4,50,243,1036
26285,408,243,165,0,0,14,12.8,0,35.8,37.4,6.1,9.7,25.5,6.7,0,0,52.1,56,61.4,5,110,782,2771
28164,14200,6922,7278,6.3,6.8,8.8,8.6,11.3,37.3,20.8,8.7,6,8.8,6.4,12.2,34.2,23.7,42.1,40.6,196,2285,21071,90518
30750,4672,2274,2398,7.8,4.1,7.7,3.3,11.9,45.3,20,3.3,4.8,4.5,5.1,10.1,51,21.2,28.5,28.7,27,1291,5044,22514
45696,1493,686,807,12.8,8.7,12.2,4.1,12.4,33.4,16.3,8.1,6.4,8.7,0,15.5,45.5,15.9,37.4,29.8,5,35,275,1600
34667,32159,15133,17026,3.7,4.8,6.6,8.2,9.1,24.7,42.8,3.9,5.8,5.6,6.3,7.5,24.7,46.2,55.7,56.9,690,9260,68755,289572
12919,2936,1439,1497,4.5,12.3,10.4,8.3,13.7,31.2,19.7,5,6.7,11,5.7,13.2,38.4,19.9,45.1,38.1,131,1455,12059,53108
96041,3019,1636,1383,2.5,8.4,7.1,7.7,2.6,37.2,34.5,5.2,9,4.5,10.1,4.1,37.2,29.9,47.6,47.1,35,180,945,5898
59338,138,60,78,3.3,8.3,10,18.3,13.3,25,21.7,2.6,5.1,11.5,11.5,14.1,24.4,30.8,49.5,51.1,3,14,88,428
13052,1698,867,831,4.3,4.8,9.2,9.1,13.8,30.4,28.3,5.5,8.1,9.3,10.2,11.9,27.4,27.6,46.2,48.4,25,112,810,3338
31601,34575,16841,17734,7.9,5.3,6.9,5.8,14.5,47.9,11.7,7.2,5.7,6,4.7,13.4,46.5,16.4,26.8,28.3,1041,18371,135311,562248
63621,1444,666,778,2.9,4.8,9.9,12.9,20,28.1,21.5,0.8,5,9.3,5.8,15.6,33.8,29.8,43.8,44.9,28,99,402,1843
31638,1051,600,451,2,7.7,10.7,8.8,25.5,32.5,12.8,8.2,6.9,1.3,10.6,18.8,29.7,24.4,32.9,31.3,12,24,111,487
27947,1595,824,771,12,10.6,8.6,2.1,6.1,49.9,10.8,4.5,13.9,8.7,8.3,5.4,39.6,19.6,34.4,45.1,28,130,879,4232
28206,12305,5828,6477,9.6,6.6,6.9,7.6,15.4,42.8,11.1,8.2,6.5,6.3,5.9,14.4,41.9,16.8,31.1,32.8,686,13569,148258,636319
37880,3441,1786,1655,1.7,9,9.7,10.6,10.4,28.2,30.4,2.8,4.7,6.2,9.7,9.6,26.5,40.5,50.4,55.1,25,93,460,2292
94956,1351,572,779,2.1,4.9,3.3,3.3,8.2,38.5,39.7,5.9,5,3.1,9.1,9,21.6,46.3,45.4,59,85,675,5622,22746
97130,430,212,218,6.1,11.8,0,3.3,13.7,24.1,41,2.8,7.8,0,8.7,5.5,22.9,52.3,47.5,62.6,56,319,1356,7173
95623,4215,2084,2131,3.4,4.6,9.2,10.2,10.7,35.1,26.8,6.9,8.5,6.3,6,10.5,34.3,27.6,46.5,43.6,63,402,4841,20412
24656,3112,1621,1491,1.4,5.9,12.6,6.7,11.2,35.3,26.8,3.9,6,11.5,12.5,11.5,22.1,32.5,49,52.3,74,1149,18317,49383
95816,17203,8771,8432,4.2,5.4,6.2,6.7,6.9,56.7,13.9,4.3,4.2,5.4,7.2,4.6,53.8,20.6,35.3,35.9,879,15124,258282,1146163
64426,305,141,164,2.1,6.4,10.6,7.8,5.7,27.7,39.7,7.9,3,12.8,6.7,8.5,17.1,43.9,54.3,56.5,4,21,133,549
98292,21517,10555,10962,7.9,5.8,9.9,8.1,11.4,31.1,25.9,5.1,6.2,8.8,9.3,14.9,32.3,23.4,44.5,43,523,3963,32164,140935
6422,7349,3668,3681,5.4,8.4,14.1,5.9,12.2,35.8,18.2,3.7,13.3,8.1,8.5,12.6,34.6,19.1,43.4,44,155,1912,19319,87111
66032,5094,2512,2582,6.8,4.3,7.9,4.2,16.6,35.7,24.5,8.6,5.7,5.8,4.6,12.8,33.6,28.7,36.8,42.1,154,1313,9474,40092
7871,20774,10131,10643,5,9.6,10.2,7.4,16.6,35.4,15.9,3.8,10.5,10.3,7.1,15.6,35.6,17,41.2,42.1,604,5165,50889,237841
7758,4512,2347,2165,6.1,9.7,8.4,6.1,15.1,39.8,14.7,2.3,9.3,9.8,8.9,10.2,33.9,25.6,35.7,47.7,66,437,3332,15791
93634,17,12,5,0,91.7,0,0,8.3,0,0,0,40,0,0,0,60,0,49.4,-,7,54,914,3586
34974,22051,11105,10946,6.2,6.3,6.1,8.5,12.6,29.4,30.8,4.8,4.4,7,7.2,9.3,31.7,35.6,46.1,49.7,376,3230,20357,84396
48633,140,53,87,0,0,0,17,0,0,83,0,4.6,4.6,16.1,0,0,74.7,65.9,63,9,40,442,1694
38941,4947,2294,2653,6.1,6,5.3,3.9,12.3,54.9,11.5,4.8,6.1,3.3,6.1,9.8,54.5,15.3,25.4,26.4,33,1215,7014,27185
12427,653,311,342,1.9,6.4,9.3,0,6.4,50.5,25.4,19,2,2.9,0,18.4,32.2,25.4,39.1,29.3,6,18,197,970
36345,8660,3945,4715,7.3,6.1,7.8,6.5,16,37.1,19.2,6.5,5.6,6.7,7.8,11.9,41.9,19.7,38.8,38.7,134,940,8490,33466
35057,12529,6373,6156,5.6,8.4,5.4,10.1,14.4,34.7,21.3,5.1,7.6,8.3,7.8,11,36.1,24.1,40.5,42.9,160,2220,16573,79169
19403,45721,22962,22759,5,7.7,8.6,8.4,11.5,40.6,18.3,4.7,8,8.2,7.3,10,35.2,26.6,39.9,45,1050,16106,241193,954294
47568,841,431,410,10.2,4.9,6,8.8,13.9,37.1,19,5.6,4.9,11,7.6,8.5,32,30.5,31.5,48.7,12,45,237,1121
64505,13029,6424,6605,6.7,6.1,9.7,6.7,13.3,37.7,19.8,7.9,5.5,7.7,7.4,11.6,36,23.9,39.1,41.3,191,1656,10821,43744
33030,34645,18928,15717,8.3,4.7,5.4,5.3,17.3,47.7,11.3,8.4,6.4,5.8,6.8,16,43.7,12.9,30.4,31.9,693,6679,44972,191792
18935,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,35,231,1122
54760,219,98,121,0,3.1,8.2,14.3,1,30.6,42.9,2.5,9.1,2.5,8.3,16.5,17.4,43.8,58.2,56.4,11,73,610,2665
84536,2112,969,1143,11.4,4.1,8.9,3,15.2,47,10.5,11.3,7.8,4.8,6.1,14.9,45.4,9.7,32.9,27.4,9,379,1890,11561
45323,5306,2545,2761,7.2,7.4,11.9,8.5,7.5,30.6,26.9,4.7,8.3,7.1,7.5,13.3,28.8,30.3,48,46.8,62,1287,17153,71425
11703,16378,7859,8519,5.3,7.7,8.7,7.4,13.9,38.6,18.5,4.5,9.6,9.1,6.5,13.7,35.3,21.2,40.3,41.9,339,3002,20107,94347
66053,7457,3746,3711,7.7,6.8,9.4,5.5,17.5,35.3,18,6.4,5.6,9.1,6.7,15.7,35.8,20.8,38.3,40.1,192,1286,9323,43077
55750,2006,1044,962,5.1,5,9.3,8.5,6.3,33.2,32.6,6,3.5,7.5,8.8,14.6,24.9,34.6,51.2,51.1,26,459,6975,18760
95822,43427,20828,22599,8.7,6.6,5,6.6,14.3,38.9,20,6.9,5.9,6.5,6.8,12.9,36.7,24.4,35.5,39.4,507,5991,43665,186071
97134,239,171,68,9.4,0,4.1,0,0,18.7,67.8,0,0,57.4,0,0,23.5,19.1,60.7,50.5,8,26,112,581
81335,111,68,43,0,17.6,0,0,0,20.6,61.8,0,0,0,0,0,0,100,61.3,-,5,43,430,1429
21647,212,88,124,0,0,6.8,21.6,8,12.5,51.1,0,8.1,3.2,12.1,17.7,12.9,46,65.1,58.4,6,23,116,608
74033,10579,5057,5522,8.8,6.1,6.7,4.7,17.3,45,11.4,9.3,6.5,7.8,5,14.6,44.2,12.7,30.3,32.7,148,1656,11638,50094
72003,908,458,450,8.5,6.1,3.1,6.8,11.4,46.7,17.5,10.2,2,6.4,8.4,11.8,41.1,20,35.9,33.4,13,64,450,1977
2919,29122,13775,15347,4.3,7.8,7.3,8.2,10.9,38.1,23.4,4.5,8.6,6.7,8.1,8.6,33.9,29.6,42.2,46.3,961,11599,134042,519746
45644,4458,2238,2220,7.6,6.4,11,10.1,9.8,38.6,16.6,1.8,9.8,8.9,6.4,12.2,38.2,22.7,41,41.9,31,200,1391,5583
33854,109,32,77,0,0,0,53.1,0,0,46.9,0,0,22.1,0,0,0,77.9,55.9,68.2,3,17,61,250
39086,1723,680,1043,3.8,1.2,5.3,12.9,21.9,32.5,22.4,4.9,12.9,3.2,3.1,12.1,54.4,9.5,31.1,27.8,7,110,1459,4268
56347,6856,3357,3499,7,6.6,7.7,8.5,14.8,33.5,21.8,7,6.9,6.5,5.8,16.1,32.8,24.9,39.5,38.5,168,2793,22671,101881
59410,645,325,320,5.8,5.2,12.3,14.8,5.8,27.4,28.6,0.6,8.1,15.3,9.7,3.8,27.2,35.3,53.1,53.3,19,55,265,1163
7018,28636,12735,15901,8.4,5,5.9,6.8,14.6,42,17.2,5.6,7.3,7.3,6.2,11.2,42.8,19.6,33.3,37.6,418,7268,84705,343535
